feature,importance
Quentin_Grimes,0.001943368737822887
Bojan_Bogdanovic,0.0018923216402233361
Dereck_Lively_II,0.0018860307492608406
RJ_Barrett,0.0018649766325701158
Richaun_Holmes,0.0018576253386598358
Kris_Murray,0.0018428481719319587
Talen_Horton-Tucker,0.0018211636110718756
De'Aaron_Fox,0.0018207714165777303
Tari_Eason,0.0018204068680473327
Landry_Shamet,0.0018088112289390286
Davion_Mitchell,0.0018075592418573061
Scottie_Barnes,0.0017890361664769671
Patrick_Beverley,0.0017827392564611418
Terry_Rozier,0.0017795974546721382
Jonas_Valanciunas,0.0017746519471330375
Zion_Williamson,0.0017719197502533996
Jaylen_Clark,0.0017700595389352142
Alex_Caruso,0.0017255221793070078
Chet_Holmgren,0.0017248782114837238
Trendon_Watford,0.001718287143749915
Chris_Boucher,0.0016642030124352125
Gordon_Hayward,0.0016338609306052626
Trent_Forrest,0.0016293894000056815
Cam_Whitmore,0.001616648522172188
Nick_Richards,0.0016066740012263213
Matt_Ryan,0.0016049083742338379
Kyle_Kuzma,0.0016022733657786836
Devin_Carter,0.0015516755195630466
Vit_Krejci,0.0015180151430882975
Pascal_Siakam,0.0015137165681241961
Nicolas_Batum,0.0015078254115647725
Terrence_Shannon_Jr.,0.0015030897099347095
Buddy_Hield,0.001496909238538485
LaMelo_Ball,0.0014709509328202956
Max_Christie,0.0014615699896704146
Mitchell_Robinson,0.0014594240847499997
Cam_Thomas,0.001451760054976806
Ben_Sheppard,0.0014239390768043024
Jake_LaRavia,0.0014074093065717102
Jared_Butler,0.0013935555926617709
Shaedon_Sharpe,0.0013831963329189265
Ochai_Agbaji,0.0013617308021951875
Killian_Hayes,0.001360212056327311
Donovan_Mitchell,0.0013561125095754767
Wendell_Carter_Jr.,0.0013274981037083486
Gary_Payton_II,0.0013161438448714671
Damian_Lillard,0.0013060062373699396
Cameron_Payne,0.0012806385731586013
Jarred_Vanderbilt,0.001272152282149249
Simone_Fontecchio,0.001242704198583872
Walker_Kessler,0.0012376132455304484
MarJon_Beauchamp,0.001220354232049919
Rui_Hachimura,0.001218625900185033
Ziaire_Williams,0.0012117902375773774
Andrew_Nembhard,0.0011902967996204122
Caris_LeVert,0.0011858250362728198
Jalen_Johnson,0.0011837693475139845
Miles_McBride,0.0011610686744453228
Taylor_Hendricks,0.0011534098740782867
Christian_Wood,0.0011515226510067022
Jakob_Poeltl,0.001138965642932844
Kyrie_Irving,0.0011334982096232323
De'Anthony_Melton,0.0011191754827537203
Terance_Mann,0.0011188067322995027
Nikola_Jovic,0.0011151341808104207
Keita_Bates-Diop,0.0011095081808694712
Patrick_Williams,0.0011018698841156348
Evan_Mobley,0.001098047037343334
DeAndre_Jordan,0.0010970125135725864
Draymond_Green,0.0010944708298105395
Jae'Sean_Tate,0.0010736386194072287
Jock_Landale,0.00107125388599968
Isaiah_Stewart,0.0010633789924364599
Baylor_Scheierman,0.0010601681340352775
Max_Strus,0.0010598776475748265
Jordan_Goodwin,0.0010562746428315769
Jordan_Clarkson,0.001049950093850222
Tristan_Thompson,0.0010461549119486152
Kawhi_Leonard,0.0010427549611448182
Sasha_Vezenkov,0.0010386269996322482
Ausar_Thompson,0.0010316053332415232
